source,target,score
14852,49703,0.737984496124031
14852,49704,0.8480620155038759
14852,49705,0.8527131782945736
14852,49706,0.8418604651162791
14852,29740,0.7984496124031008
14852,15406,0.8604651162790697
14852,40501,0.8372093023255814
14852,29754,0.8666666666666667
14852,14910,0.7224806201550388
14852,15429,0.8558139534883721
14852,14921,0.9007751937984496
14852,29369,0.8744186046511628
14852,29548,0.8558139534883721
14852,15501,0.9116279069767442
14852,49306,0.8883720930232558
14852,49307,0.8868217054263566
14852,29345,0.9007751937984496
14503,14852,0.8806201550387597
14506,14852,0.8356589147286821
14852,15020,0.7643410852713178
14009,14852,0.896124031007752
14852,15039,0.6883720930232559
14031,14852,0.8356589147286821
14852,29909,0.8914728682170543
14852,49700,0.8790697674418605
14852,29918,0.8542635658914729
14852,29936,0.8527131782945736
14852,15633,0.8589147286821706
14103,14852,0.8542635658914729
14852,29148,0.8868217054263566
14661,14852,0.689922480620155
14852,29512,0.8914728682170543
12109,14852,0.8713178294573644
14852,29523,0.8651162790697674
14852,15701,0.8682170542635659
14852,49502,0.889922480620155
14852,29537,0.8372093023255814
14852,40300,0.8527131782945736
14852,40302,0.8031007751937984
14852,40303,0.8914728682170543
14852,40304,0.8728682170542635
14852,40305,0.8821705426356589
14852,29555,0.813953488372093
14712,14852,0.8418604651162791
14852,29566,0.8031007751937984
14852,15424,0.8480620155038759
14226,14852,0.9085271317829458
14852,49903,0.8186046511627907
14852,29108,0.8775193798449612
14852,94659,0.8930232558139535
14852,29141,0.8294573643410853
14809,14852,0.8744186046511628
14826,14852,0.8108527131782945
14852,40103,0.7255813953488373
14858,15704,0.8
14858,14871,0.8806201550387597
14858,94240,0.8031007751937984
14858,29732,0.8821705426356589
14858,49702,0.7751937984496124
14858,40500,0.8449612403100775
14858,40502,0.8868217054263566
10808,14858,0.8775193798449612
14400,14858,0.8558139534883721
14858,15425,0.8186046511627907
14858,14914,0.8945736434108527
14858,14920,0.8713178294573644
14858,14922,0.7007751937984497
14440,14858,0.8666666666666667
14858,29305,0.8434108527131783
14858,15502,0.765891472868217
14858,49300,0.8930232558139535
